과목명,교과군,과목유형,학교지정,학년선택,비고_전문_고시외_표6,선택군_코드,편성학점,1-1_학점,1-2_학점,2-1_학점,2-2_학점,3-1_학점,3-2_학점
세부교과목,교과(군),과목유형,,,비고,,"운영
학점",,,,,,
공통국어1,국어,공통,True,,,,3,3,,,,,
공통국어2,국어,공통,True,,,,3,,3,,,,
문학,국어,일반,True,,,,3,,,3,,,
공통수학1,수학,공통,True,,,,3,3,,,,,
공통수학2,수학,공통,True,,,,3,,3,,,,
대수,수학,일반,True,,,,3,,,3,,,
공통영어1,영어,공통,True,,,,3,3,,,,,
공통영어2,영어,공통,True,,,,3,,3,,,,
영어Ⅰ,영어,일반,True,,,,3,,,3,,,
한국사1,사회[역사/도덕 포함],공통,True,,,,3,3,,,,,
한국사2,사회[역사/도덕 포함],공통,True,,,,3,,3,,,,
통합사회1,사회[역사/도덕 포함],공통,True,,2학점 부족,,3,3,,,,,
통합사회2,사회[역사/도덕 포함],공통,True,,1과목 선택,,3,,3,,,,
통합과학1,과학,공통,True,,"2학점 부족
1과목 선택",,3,3,,,,,
통합과학2,과학,공통,True,,"2학점 부족
1과목 선택",,3,,3,,,,
과학탐구실험1,과학,공통,True,,"2학점 부족
1과목 선택",,1,1,,,,,
과학탐구실험2,과학,공통,True,,"2학점 부족
1과목 선택",,1,,1,,,,
체육1,체육,일반,True,,,,2,2,,,,,
체육2,체육,일반,True,,,,2,,2,,,,
스포츠 문화,체육,진로,True,,,,1,,,1,,,
스포츠 과학,체육,진로,True,,,,1,,,,1,,
스포츠 생활1,체육,융합,True,,,,2,,,,,2,
스포츠 생활2,체육,융합,True,,,,2,,,,,,2
음악 이론,예술,진로,True,,,,2,,,2,,,
음악사Ⅰ,예술,진로(고시외),True,,,,2,,,2,,,
음악사Ⅱ,예술,진로(고시외),True,,,,2,,,,2,,
시창·청음,예술,진로,True,,,,2,,,,,,2
음악 전공 실기,예술,진로,True,,,,4,4,,,,,
음악 공연 실습,예술,진로,True,,,,2,,,2,,,
음악과 미디어,예술,융합,True,,,,2,,,,2,,
음악과 문화,예술,융합,True,,,,2,,,,,2,
음악전공실기의 실제Ⅰ,예술,진로(고시외),True,,,,4,,4,,,,
